0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
7.6 Sent 42326 bytes 571 pkt (dropped 996, overlimits 996 requeues 0) 
7.7 Sent 42326 bytes 571 pkt (dropped 996, overlimits 996 requeues 0) 
7.8 Sent 42392 bytes 572 pkt (dropped 996, overlimits 996 requeues 0) 
7.9 Sent 42392 bytes 572 pkt (dropped 996, overlimits 996 requeues 0) 
8.0 Sent 42842 bytes 577 pkt (dropped 996, overlimits 996 requeues 0) 
8.1 Sent 42842 bytes 577 pkt (dropped 996, overlimits 996 requeues 0) 
8.2 Sent 47024 bytes 632 pkt (dropped 1097, overlimits 1097 requeues 0) 
8.3 Sent 52292 bytes 702 pkt (dropped 1346, overlimits 1346 requeues 0) 
8.4 Sent 57522 bytes 769 pkt (dropped 1528, overlimits 1528 requeues 0) 
8.5 Sent 61482 bytes 813 pkt (dropped 1529, overlimits 1529 requeues 0) 
8.6 Sent 63462 bytes 835 pkt (dropped 1529, overlimits 1529 requeues 0) 
8.7 Sent 63552 bytes 836 pkt (dropped 1529, overlimits 1529 requeues 0) 
8.8 Sent 63708 bytes 838 pkt (dropped 1529, overlimits 1529 requeues 0) 
8.9 Sent 63708 bytes 838 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.0 Sent 63708 bytes 838 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.1 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.2 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.3 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.4 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.5 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.6 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.7 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.8 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
9.9 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.0 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.1 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.2 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.3 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.4 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.5 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.6 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.7 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.8 Sent 63864 bytes 840 pkt (dropped 1529, overlimits 1529 requeues 0) 
10.9 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.0 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.1 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.2 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.3 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.4 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.5 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.6 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.7 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.8 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
11.9 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.0 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.1 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.2 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.3 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.4 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.5 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.6 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.7 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.8 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
12.9 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.0 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.1 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.2 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.3 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.4 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.5 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.6 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.7 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.8 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
13.9 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.0 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.1 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.2 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.3 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.4 Sent 64044 bytes 842 pkt (dropped 1529, overlimits 1529 requeues 0) 
