0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
7.5 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
7.6 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
7.7 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
7.8 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
7.9 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.0 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.1 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.2 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.3 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.4 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.5 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.6 Sent 58196 bytes 738 pkt (dropped 1183, overlimits 1183 requeues 0) 
8.7 Sent 62560 bytes 796 pkt (dropped 1269, overlimits 1269 requeues 0) 
8.8 Sent 67764 bytes 866 pkt (dropped 1342, overlimits 1342 requeues 0) 
8.9 Sent 72360 bytes 924 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.0 Sent 72810 bytes 929 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.1 Sent 74880 bytes 952 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.2 Sent 75330 bytes 957 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.3 Sent 75330 bytes 957 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.4 Sent 75330 bytes 957 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
9.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
10.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
11.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
12.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
13.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
14.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.4 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.5 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.6 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.7 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.8 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
15.9 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
16.0 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
16.1 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
16.2 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
16.3 Sent 75870 bytes 963 pkt (dropped 1433, overlimits 1433 requeues 0) 
16.4 Sent 82502 bytes 1051 pkt (dropped 1516, overlimits 1516 requeues 0) 
16.5 Sent 87830 bytes 1123 pkt (dropped 1623, overlimits 1623 requeues 0) 
16.6 Sent 88788 bytes 1134 pkt (dropped 1629, overlimits 1629 requeues 0) 
16.7 Sent 88788 bytes 1134 pkt (dropped 1629, overlimits 1629 requeues 0) 
16.8 Sent 90138 bytes 1149 pkt (dropped 1629, overlimits 1629 requeues 0) 
16.9 Sent 90138 bytes 1149 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.0 Sent 90138 bytes 1149 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.1 Sent 90138 bytes 1149 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
17.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
18.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
19.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
20.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
21.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
22.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
23.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
